"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"43955","Adolfo Pérez Esquivel Base","Base","InfluenceHabSchematic","4094","the Academy","False","False","True","4555",,"2","3"
"40251","Cassius Dio Base","Base","ResearchHabSchematic","4094","the Academy","False","False","True","4611",,"2","3"
"25472","Diogenes Station","Station","ShipbuildingHabSchematic","4094","the Academy","True","False","False",,"Earth","2","3"
"39778","Eisaku Sato Base","Base","OperationsHabSchematic","4094","the Academy","False","False","True","4133",,"2","3"
"36992","Elizabeth C. Stanton Base","Base","ResearchHabSchematic","4094","the Academy","False","False","True","4776",,"2","3"
"36115","Empedocles Station","Station","ShipbuildingHabSchematic","4094","the Academy","False","False","False",,"20 Massalia","2","3"
"64769","Gandhi Base","Base","LEOHabSchematic","4094","the Academy","False","False","True","4827",,"1","2"
"42921","Guo Jujing Base","Base","MissionControlHabSchematic","4094","the Academy","False","False","True","4525",,"2","3"
"42082","Horace Mann Base","Base","LEOHabSchematic","4094","the Academy","False","False","True","4581",,"2","3"
"70966","Jane Addams Station","Station","ShipbuildingHabSchematic","4094","the Academy","True","False","False",,"Earth","2","3"
"23974","Martin Luther King Jr. Base","Base","LEOHabSchematic","4094","the Academy","False","False","True","4647",,"2","3"
"31151","Plato Base","Base","OperationsHabSchematic","4094","the Academy","False","False","True","4564",,"2","3"
"41226","Seneca Station","Station","LEOHabSchematic","4094","the Academy","True","False","False",,"Earth","2","3"
"70939","Socrates Station","Station","ShipbuildingHabSchematic","4094","the Academy","False","False","False",,"Venus","2","3"
"66602","Sophocles Base","Base","LEOHabSchematic","4094","the Academy","False","False","True","4980",,"1","2"
"30628","Thales Station","Station","ShipbuildingHabSchematic","4094","the Academy","False","False","False",,"19 Fortuna","2","3"
"4083","The International Space Station","Station","InfluenceHabSchematic","4094","the Academy","True","False","False",,"Earth","2","3"
"10472","Varian Fry Base","Base","LEOHabSchematic","4094","the Academy","False","False","True","4177",,"2","3"
"45223","Yulgok Yi Base","Base","OperationsHabSchematic","4094","the Academy","False","False","True","4608",,"2","3"
