"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3693","Spain",,"3042146377394.93",,,"10.0","8.150636","0.0",,"2.076892",,"11.13831","2.7845775","3694"
"3815","United Arab Emirates",,"868896893720.891",,,"7.391416","9.906817","0.0",,"1.091889",,"10.43337","3.47779","3816"
"3693","Spain",,"3042146377394.93",,,"10.0","8.150636","0.0",,"2.076892",,"11.13831","2.7845775","3696"
"3430","Indonesia",,"5387526407975.56",,,"7.357092","4.997313","2.420556",,"3.416097",,"14.2083","3.552075","3431"
"3430","Indonesia",,"5387526407975.56",,,"7.357092","4.997313","2.420556",,"3.416097",,"14.2083","3.552075","3432"
"3430","Indonesia",,"5387526407975.56",,,"7.357092","4.997313","2.420556",,"3.416097",,"14.2083","3.552075","3433"
"3430","Indonesia",,"5387526407975.56",,,"7.357092","4.997313","2.420556",,"3.416097",,"14.2083","3.552075","3434"
"3815","United Arab Emirates",,"868896893720.891",,,"7.391416","9.906817","0.0",,"1.091889",,"10.43337","3.47779","3817"
"3815","United Arab Emirates",,"868896893720.891",,,"7.391416","9.906817","0.0",,"1.091889",,"10.43337","3.47779","3818"
"3739","Benin-Togo",,"95285130512.4327",,,"5.111265","5.791375","4.394823",,"3.668783",,"2.604997","1.3024985","3740"
"3813","Guinea-Guinea-Bissau",,"201883358693.438",,,"2.823676","10.0","0.0",,"2.772249",,"3.735004","1.867502","3814"
"3826","Haiti",,"44959169517.4119",,,"5.033266","4.310547","4.680102",,"3.703536",,"0.7016668","0.7016668","3827"
"3386","Ghana",,"375967797396.12",,,"7.013465","6.563981","2.980265",,"3.674547",,"3.048331","1.5241655","3387"
"3386","Ghana",,"375967797396.12",,,"7.013465","6.563981","2.980265",,"3.674547",,"3.048331","1.5241655","3388"
"3752","Uganda",,"203736604164.531",,,"5.000647","4.522896","4.73636",,"3.608342",,"1.175","0.5875","3753"
"3519","Mexico",,"2790860237934.22",,,"7.011342","5.003731","2.508811",,"3.8934",,"6.35499","1.5887475","3521"
"3752","Uganda",,"203736604164.531",,,"5.000647","4.522896","4.73636",,"3.608342",,"1.175","0.5875","3754"
"3334","Cuba",,"253277695773.866",,,"2.292559","9.130823","0.0",,"3.416488",,"5.28833","2.644165","3336"
"3596","Philippines",,"1294949722049.64",,,"6.834072","3.234227","4.527617",,"3.304538",,"0.9583333","0.3194444333333333333333333333","3597"
"3596","Philippines",,"1294949722049.64",,,"6.834072","3.234227","4.527617",,"3.304538",,"0.9583333","0.3194444333333333333333333333","3598"
"3596","Philippines",,"1294949722049.64",,,"6.834072","3.234227","4.527617",,"3.304538",,"0.9583333","0.3194444333333333333333333333","3599"
"3555","Nigeria",,"1617857077812.98",,,"4.826944","2.221942","4.606663",,"3.265854",,"3.745001","1.2483336666666666666666666667","3556"
"3555","Nigeria",,"1617857077812.98",,,"4.826944","2.221942","4.606663",,"3.265854",,"3.745001","1.2483336666666666666666666667","3557"
"3555","Nigeria",,"1617857077812.98",,,"4.826944","2.221942","4.606663",,"3.265854",,"3.745001","1.2483336666666666666666666667","3558"
"3299","Caribbean States",,"180610588515.511",,,"8.330111","7.095705","0.2890405",,"2.950718",,"3.518337","1.7591685","3300"
"3299","Caribbean States",,"180610588515.511",,,"8.330111","7.095705","0.2890405",,"2.950718",,"3.518337","1.7591685","3301"
"3697","Sri Lanka",,"497275213912.616",,,"7.075318","7.299683","0.9951315",,"3.275441",,"2.509998","1.254999","3698"
"3519","Mexico",,"2790860237934.22",,,"7.011342","5.003731","2.508811",,"3.8934",,"6.35499","1.5887475","3523"
"3697","Sri Lanka",,"497275213912.616",,,"7.075318","7.299683","0.9951315",,"3.275441",,"2.509998","1.254999","3699"
"3241","Croatia-Slovenia",,"279148656536.126",,,"8.015215","8.957581","0.0",,"1.874154",,"4.848341","2.4241705","3243"
"3749","Turkmenistan",,"119111340191.116",,,"0.7841145","10.0","0.0",,"3.715176",,"2.035603","1.0178015","3750"
"3749","Turkmenistan",,"119111340191.116",,,"0.7841145","10.0","0.0",,"3.715176",,"2.035603","1.0178015","3751"
"3813","Guinea-Guinea-Bissau",,"201883358693.438",,,"2.823676","10.0","0.0",,"2.772249",,"3.735004","1.867502","33792"
"3739","Benin-Togo",,"95285130512.4327",,,"5.111265","5.791375","4.394823",,"3.668783",,"2.604997","1.3024985","34846"
"3693","Spain",,"3042146377394.93",,,"10.0","8.150636","0.0",,"2.076892",,"11.13831","2.7845775","39291"
"3801","Zambia",,"80859724333.85",,,"4.74823","3.471692","4.511486",,"3.956136",,"0.0","0.0","3802"
