"FleetID","displayName","templateName","ShipIDs","OrbitStateID","BarycenterID"
"7501","Victor-10","GenericFleetTemplate","7500;6984;24674","4234","18"
"8910","Victor-11","GenericFleetTemplate","49791;52541;93097;8909;32182","4121","5"
"9309","Victor-12","GenericFleetTemplate","9308","5214","336"
"9547","Victor-13","GenericFleetTemplate","12908","5214","336"
"3910","Victor-6","alienFleet62020","32163;50806;5427;68534;57503",,"2"
"7284","Victor-9","GenericFleetTemplate","21277;7283","4771","191"
"9746","Victor-14","GenericFleetTemplate","9745","4465","92"
"15406","Victor-28","GenericFleetTemplate","9546;21093","4343","45"
"10062","Victor-16","GenericFleetTemplate","26755;10061","4413","72"
"10195","Victor-17","GenericFleetTemplate","10194","5235","342"
"22021","Victor-40","GenericFleetTemplate","10644","4413","72"
"11266","Victor-19","GenericFleetTemplate","11265","4465","92"
"18666","Victor-32","GenericFleetTemplate","18665","5214","336"
"19449","Victor-34","GenericFleetTemplate","76500;96964;48153;34426;97713;77071;97970","4234","18"
"13222","Victor-23","GenericFleetTemplate","13221","5267","351"
"13224","Victor-24","GenericFleetTemplate","13223","5267","351"
"20758","Victor-36","GenericFleetTemplate","20757","4965","259"
"15055","Victor-27","GenericFleetTemplate","27504;39738;22350;66416;6666;76404","4343","45"
"16576","Victor-29","GenericFleetTemplate","16575","4294","36"
"16578","Victor-30","GenericFleetTemplate","16577","4294","36"
"17272","Victor-31","GenericFleetTemplate","37881;9758","5235","342"
"25773","Victor-51","GenericFleetTemplate","25772","4343","45"
"23501","Victor-45","GenericFleetTemplate","23500","4965","259"
"23399","Victor-44","GenericFleetTemplate","29404;26229","4234","18"
"27236","Victor-58","GenericFleetTemplate","27235","4696","166"
"95918","Victor-428","GenericFleetTemplate","29580","4142","7"
"27577","Victor-61","GenericFleetTemplate","27576","4874","226"
"28039","Victor-63","GenericFleetTemplate","21515","4771","191"
"28091","Victor-65","GenericFleetTemplate","27876","4696","166"
"28106","Victor-67","GenericFleetTemplate","27242","4874","226"
"28116","Victor-69","GenericFleetTemplate","35384;36942;46646;60380;99260;76140;47442;72675;50020;99281;40061;43240;52187;64092;68444;37900;61967;71234;33887;34650;38922;39304;43165;47250;48188;38154;39113;40049;40614;40935;41195;54693;66346;66536;73699;75972;80641;80762;44625;34420;40780;41597;48525;52002;64733;98505;26220;36142;36422;36633;42396;44991;45650;47952;48796;49840;52226;62555;62763;66551;84869;84917;33876;35704;42262;43372;47659;66838;73015;84927;29205;31223;44010;49636;67323;34321;40698;48735;49459;73545;11887;31746;36442;38491;38805;45288;48375;50842;64716;66857;68741;96988;24881;24311;36749;39527;40326;41275;41565;42329;44209;44931;47691;47904;48742;67552;81436","5235","342"
"98932","Victor-451","GenericFleetTemplate","98931",,"2"
"34436","Victor-101","GenericFleetTemplate","26232","4771","191"
"98892","Victor-450","GenericFleetTemplate","98891",,"2"
"98154","Victor-443","GenericFleetTemplate","30116;97266","4234","18"
"42642","Victor-159","GenericFleetTemplate","38466","4413","72"
"80852","Victor-410","GenericFleetTemplate","26975;44238;28897",,"2"
"50039","Victor-217","GenericFleetTemplate","97457;38287;96967;80904","4131","6"
"73002","Victor-351","GenericFleetTemplate","73353;73001;99251;80780;81407;90840","5235","342"
"98279","Victor-444","GenericFleetTemplate","98278",,"2"
"77662","Victor-399","GenericFleetTemplate","77661;97254;97554;97722","5235","342"
"98945","Victor-452","GenericFleetTemplate","37687;62754;98281;81261;52283;31972;73565;31460;47923;34668;28110;67537;15054;28891;60586;35006;98683;75975;76850;69422;52416;75072;48688;66869;60216;31220;50117;13360;28894;35965;45291;84894;40002","4874","226"
"97264","Victor-435","GenericFleetTemplate","97263",,"2"
"77129","Victor-383","GenericFleetTemplate","42903;39984;59752;34423",,"2"
"97045","Victor-433","GenericFleetTemplate","97005","4343","45"
"81190","Victor-413","GenericFleetTemplate","47472;81189;80907;24549","4771","191"
"77664","Victor-400","GenericFleetTemplate","77663","5235","342"
"77670","Victor-401","GenericFleetTemplate","45212;37316;80842;29577;67944;43508;44013;40490",,"2"
"99496","Victor-456","GenericFleetTemplate","99495",,"2"
"84847","Victor-417","GenericFleetTemplate","23367","4142","7"
"84859","Victor-418","GenericFleetTemplate","43043;14618;13057",,"2"
