"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"4086","Alien Station Able","Station",,"4096","the Aliens","False","False","False",,"Mbombo","3","4"
"4085","Alien Surface Base Alpha","Base",,"4096","the Aliens","False","False","True","5237",,"3","4"
"9132","Azure Forge Base","Base",,"4096","the Aliens","False","False","True","4471",,"3","4"
"23411","Cobalt Shield Station","Station",,"4096","the Aliens","False","False","False",,"409 Aspasia","3","4"
"13902","Concord Guardian Station","Station",,"4096","the Aliens","False","False","False",,"Callisto","3","4"
"10995","Diamond Guardian Base","Base",,"4096","the Aliens","False","False","True","5216",,"3","4"
"19488","Holy Fortress Base","Base",,"4096","the Aliens","False","False","True","4773",,"3","4"
"10238","Jade Fortress Base","Base",,"4096","the Aliens","False","False","True","4345",,"3","4"
"5860","Jade Shield Base","Base",,"4096","the Aliens","False","False","True","5238",,"3","4"
"8818","Lone Protector Base","Base",,"4096","the Aliens","False","False","True","4415",,"3","4"
"19519","Lonely Protector Station","Station",,"4096","the Aliens","False","False","False",,"165 Loreley","3","4"
"59384","Ocean Forge Station","Station",,"4096","the Aliens","False","True","False",,"Luna","2","3"
"12839","Red Knife Base","Base",,"4096","the Aliens","False","False","True","4296",,"3","4"
"11075","Righteous Guardian Base","Base",,"4096","the Aliens","False","False","True","5269",,"3","4"
"23372","Shadow Guardian Base","Base",,"4096","the Aliens","False","False","True","4876",,"3","4"
"11104","Silver Fortress Station","Station",,"4096","the Aliens","False","False","False",,"636872 Caeneus","3","4"
"17317","Silver Spear Base","Base",,"4096","the Aliens","False","False","True","4967",,"3","4"
"23120","Stalwart Blade Base","Base",,"4096","the Aliens","False","False","True","4698",,"3","4"
"17477","Stalwart Defender Station","Station",,"4096","the Aliens","False","False","False",,"1173 Anchises","3","4"
"23160","Stalwart Warden Station","Station",,"4096","the Aliens","False","False","False",,"92 Undina","3","4"
"9247","Steel Forge Station","Station",,"4096","the Aliens","False","False","False",,"Triton","3","4"
"11025","Steel Shield Station","Station",,"4096","the Aliens","False","False","False",,"Luison","3","4"
"8849","Steel Spear Station","Station",,"4096","the Aliens","False","False","False",,"Titania","3","4"
"13870","Unyielding Protector Base","Base",,"4096","the Aliens","False","False","True","4247",,"3","4"
"10269","Valiant Defender Station","Station",,"4096","the Aliens","False","False","False",,"Iapetus","3","4"
"12868","Valiant Phalanx Station","Station",,"4096","the Aliens","False","False","False",,"Enceladus","3","4"
