"TechTemplateName","Status","AccumulatedResearch","IsSelector","Source"
"AdAstra","GlobalFinished",,"False","Global"
"AdministrationAlgorithms","GlobalFinished",,"False","Global"
"AdvancedAtomicManipulation","GlobalFinished",,"False","Global"
"AdvancedCarbonManipulation","GlobalFinished",,"False","Global"
"AdvancedChemicalRocketry","GlobalFinished",,"False","Global"
"AdvancedFissionSystems","GlobalFinished",,"False","Global"
"AdvancedHeatManagementConcepts","GlobalFinished",,"False","Global"
"AdvancedHydrogenContainment","GlobalFinished",,"False","Global"
"AdvancedMagnetics","GlobalFinished",,"False","Global"
"AdvancedMissileWarfareDoctrine","GlobalFinished",,"False","Global"
"AdvancedNeuralNetworks","GlobalFinished",,"False","Global"
"AdvancedSuperconductors","GlobalFinished",,"False","Global"
"AntimatterContainment","GlobalFinished",,"False","Global"
"AppliedArtificialIntelligence","GlobalFinished",,"False","Global"
"ArcLasers","GlobalFinished",,"False","Global"
"ArrivalCulture","GlobalFinished",,"False","Global"
"ArrivalDomesticPolitics","GlobalFinished",,"False","Global"
"ArrivalEconomics","GlobalFinished",,"False","Global"
"ArrivalGovernance","GlobalFinished",,"False","Global"
"ArrivalInternationalDevelopment","GlobalFinished",,"False","Global"
"ArrivalInternationalRelations","GlobalFinished",,"False","Global"
"ArrivalLaw","GlobalFinished",,"False","Global"
"ArrivalMassCommunications","GlobalFinished",,"False","Global"
"ArrivalPsychology","GlobalFinished",,"False","Global"
"ArrivalSecurity","GlobalFinished",,"False","Global"
"ArrivalSociology","GlobalFinished",,"False","Global"
"AugmentedReality","GlobalFinished",,"False","Global"
"Biotechnology","GlobalFinished",,"False","Global"
"CarbonNanotubes","GlobalFinished",,"False","Global"
"Coilguns","GlobalFinished",,"False","Global"
"ColonyHabs","GlobalFinished",,"False","Global"
"Cybernetics","GlobalFinished",,"False","Global"
"DeepSpacePropulsionConcepts","GlobalFinished",,"False","Global"
"DeepSystemSkywatch","GlobalFinished",,"False","Global"
"DesignerLifeforms","GlobalFinished",,"False","Global"
"DeuteriumDeuteriumFusion","GlobalInProgress","5540.862","False","Global"
"DeuteriumTritiumFusion","GlobalFinished",,"False","Global"
"Diamondoids","GlobalFinished",,"False","Global"
"DirectedEnergyWarfareDoctrine","GlobalFinished",,"False","Global"
"DirectedSpaceResearch","GlobalFinished",,"False","Global"
"ElectromagneticPropulsion","GlobalFinished",,"False","Global"
"ElectrostaticPlasmaConfinement","GlobalFinished",,"False","Global"
"ElectrostaticPropulsion","GlobalFinished",,"False","Global"
"ElectrothermalPropulsion","GlobalFinished",,"False","Global"
"ExtendedSpaceSurvival","GlobalFinished",,"False","Global"
"FallofEmpires","GlobalFinished",,"False","Global"
"FissionPulseDrives","GlobalFinished",,"False","Global"
"FleetLogistics","GlobalFinished",,"False","Global"
"GasCoreFissionSystems","GlobalFinished",,"False","Global"
"GreatNations","GlobalFinished",,"False","Global"
"HighEnergyElectromagneticPropulsion","GlobalFinished",,"False","Global"
"HighEnergyLasers","GlobalFinished",,"False","Global"
"HighTemperatureSuperconductors","GlobalFinished",,"False","Global"
"ImprovedShipbuildingTechniques","GlobalFinished",,"False","Global"
"IndependenceMovements","GlobalFinished",,"False","Global"
"IndustrializationofSpace","GlobalFinished",,"False","Global"
"InertialPlasmaConfinementTechniques","GlobalInProgress","983.0854","False","Global"
"InfraredCombatLasers","GlobalFinished",,"False","Global"
"InSituResourceUtilization","GlobalFinished",,"False","Global"
"IntegratedEarthSpaceEconomy","GlobalFinished",,"False","Global"
"KineticsWarfareDoctrine","GlobalFinished",,"False","Global"
"MagneticForceManipulation","GlobalFinished",,"False","Global"
"MagneticNozzles","GlobalFinished",,"False","Global"
"MagneticPlasmaConfinementTechniques","GlobalFinished",,"False","Global"
"MassDrivers","GlobalFinished",,"False","Global"
"MilitarizationofSpace","GlobalFinished",,"False","Global"
"MindandMachine","GlobalFinished",,"False","Global"
"MissileWarfareDoctrine","GlobalFinished",,"False","Global"
"MissiontoJupiter","GlobalFinished",,"False","Global"
"MissiontoMars","GlobalFinished",,"False","Global"
"MissiontoSaturn","GlobalFinished",,"False","Global"
"MissionToSpace","GlobalFinished",,"False","Global"
"MissiontotheAsteroids","GlobalFinished",,"False","Global"
"MissiontotheInnerPlanets","GlobalFinished",,"False","Global"
"MissiontotheMoon","GlobalFinished",,"False","Global"
"MissiontoVenus","GlobalFinished",,"False","Global"
"MolecularAssemblers","GlobalFinished",,"False","Global"
"MoltenCoreFissionSystems","GlobalFinished",,"False","Global"
"NetworkedGlobalDefense","GlobalFinished",,"False","Global"
"NetworkedPropaganda","GlobalFinished",,"False","Global"
"Neutronics","GlobalFinished",,"False","Global"
"NextGenerationAerospace","GlobalFinished",,"False","Global"
"NuclearFissioninSpace","GlobalFinished",,"False","Global"
"NuclearFusioninSpace","GlobalFinished",,"False","Global"
"OrbitalFighters","GlobalFinished",,"False","Global"
"OrbitalRingHabs","GlobalFinished",,"False","Global"
"OrbitalShipbuilding","GlobalFinished",,"False","Global"
"OrbitalTorusHabs","GlobalFinished",,"False","Global"
"OurSpaceFuture","GlobalFinished",,"False","Global"
"OutpostHabs","GlobalFinished",,"False","Global"
"ParticleCannon","GlobalFinished",,"False","Global"
"PhasedArrayLasers","GlobalFinished",,"False","Global"
"PhotonicComputing","GlobalFinished",,"False","Global"
"PlasmaWeapons","GlobalInProgress","9178.854","False","Global"
"PredictiveGenetics","GlobalFinished",,"False","Global"
"PrinciplesofSpaceWarfare","GlobalFinished",,"False","Global"
"Project_AlienMasterProject","FactionFinished",,"False","FactionProject"
"QuantumComputing","GlobalFinished",,"False","Global"
"QuantumEncryption","GlobalFinished",,"False","Global"
"Railguns","GlobalFinished",,"False","Global"
"SelfRepairingSoftware","GlobalFinished",,"False","Global"
"SettlementHabs","GlobalFinished",,"False","Global"
"Skywatch","GlobalFinished",,"False","Global"
"SolidCoreFissionSystems","GlobalFinished",,"False","Global"
"SpaceAgriculture","GlobalFinished",,"False","Global"
"SpaceAssaultDoctrine","GlobalFinished",,"False","Global"
"SpaceCommerce","GlobalFinished",,"False","Global"
"SpaceMedicine","GlobalFinished",,"False","Global"
"SpaceMiningandRefining","GlobalFinished",,"False","Global"
"SpaceNavies","GlobalFinished",,"False","Global"
"SpaceResearch","GlobalFinished",,"False","Global"
"SpaceTourism","GlobalFinished",,"False","Global"
"Superalloys","GlobalFinished",,"False","Global"
"Supercapacitors","GlobalFinished",,"False","Global"
"SuperconductingMagnets","GlobalFinished",,"False","Global"
"TerrestrialMilitaryScience","GlobalFinished",,"False","Global"
"Tokamaks","GlobalFinished",,"False","Global"
"TransformPhages","GlobalFinished",,"False","Global"
"TransInterfaceWarfare","GlobalFinished",,"False","Global"
