"ID","displayName","personalName","familyName","typeTemplateName","HomeRegionID","Persuasion","Investigation","Espionage","Command","Administration","Science","Security","Loyalty","status"
"3862","Matt Price","Matt","Price","Astronaut","2860","3","2","1","7","3","5","6","13","Active"
"3863","Michael Moore","Michael","Moore","Commando","2779","1","2","4","6","1","1","6","6","Active"
"3864","Floris Bronzwaer","Floris","Bronzwaer","Diplomat","1960","5","3","5","3","6","1","4","6","Active"
"3865","Sara-Connor Keller","Sara-Connor","Keller","Activist","826","6","4","3","1","1","1","0","8","Active"
"3866","Levi Newell","Levi","Newell","Commando","2779","1","2","4","6","1","0","6","13","Active"
"3867","Martti Mikkola","Martti","Mikkola","TechMogul","1213","5","2","1","2","5","6","3","7","Active"
"3868","Alex Essenmacher","Alex","Essenmacher","Officer","2842","5","2","4","7","4","0","5","17","Active"
"3869","Brent Kesler","Brent","Kesler","Diplomat","2851","6","4","6","3","5","1","5","6","Active"
"3870","Mike Mudgett","Mike","Mudgett","Hacker","2761","2","5","5","1","1","4","4","12","Active"
"3871","Dan Bij","Dan","Bij","Tycoon","1969","4","1","1","5","7","3","3","4","Active"
"3872","Dex Arkanthis","Dex","Arkanthis","Officer","2032","6","1","4","7","5","2","5","16","Active"
"3873","Grace Gautier","Grace","Gautier","Journalist","2860","8","6","4","0","2","2","0","12","Active"
"3874","Glenn Robertson","Glenn","Robertson","Executive","2725","4","4","0","4","5","0","3","8","Active"
"3875","Tom Emedio","Tom","Emedio","Diplomat","1222","5","4","5","2","4","0","5","8","Active"
"3876","Brian Sanders","Brian","Sanders","Journalist","2860","7","6","5","0","2","0","0","25","Active"
"3877","Jack Peterson","Jack","Peterson","Scientist","2788","1","6","1","0","4","7","2","9","Active"
"3878","Daniel Schinhofen","Daniel","Schinhofen","Celebrity","2779","8","3","1","1","4","0","3","6","Active"
"3879","Rames Singhapat","Rames","Singhapat","Scientist","1942","5","6","2","0","3","7","2","14","Active"
"3881","Bailey McNally","Bailey","McNally","TechMogul","2779","4","3","2","2","5","5","4","10","Active"
"3882","Sean Dioz","Sean","Dioz","Diplomat","1222","7","3","4","2","4","0","4","15","Active"
"3883","Kareem Harper","Kareem","Harper","Executive","2824","5","2","1","5","6","2","3","11","Active"
"3884","Jay Sizzle","Jay","Sizzle","Celebrity","2779","8","1","1","1","3","1","3","4","Active"
"3885","Julian Mattock","Julian","Mattock","Executive","2707","6","2","1","4","5","1","4","9","Active"
"3886","Greg Ryan","Greg","Ryan","Executive","2707","7","2","0","4","5","3","3","13","Active"
"3887","Patrick Rumball","Patrick","Rumball","Diplomat","826","7","5","5","3","4","0","5","9","Active"
"3888","Kayleigh Adams","Kayleigh","Adams","TechMogul","2860","4","4","1","1","4","5","4","11","Active"
"3889","Jasper Aspau","Jasper","Aspau","Fixer","2824","4","4","6","0","0","0","3","15","Active"
"3890","Valerie Kendrick","Valerie","Kendrick","Judge","2797","6","6","2","1","5","0","4","11","Active"
"3891","Matthew Zaboroski","Matthew","Zaboroski","Executive","2815","6","3","2","5","5","3","2","5","Active"
"3892","Hyjinks Silverhart","Hyjinks","Silverhart","Fixer","2806","4","5","5","0","1","0","4","15","Active"
"3893","Bob Srinivasan","Bob","Srinivasan","Scientist","1438","3","4","2","0","4","7","2","10","Active"
"3894","Stefano de Stefano","Stefano","de Stefano","Judge","1645","5","6","1","1","5","0","3","5","Active"
"3895","Cash Bland","Cash","Bland","Spy","2851","6","6","6","2","1","0","4","5","Active"
"3896","Alexander Cross","Alexander","Cross","Astronaut","2851","4","1","1","6","3","6","5","15","Active"
