"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"32195","Carpenter Base","Base","ResearchHabSchematic","4095","Project Exodus","False","False","True","4572",,"2","3"
"31419","Collins Base","Base","InfluenceHabSchematic","4095","Project Exodus","False","False","True","4668",,"1","2"
"99165","Cooper Station","Station","InfluenceHabSchematic","4095","Project Exodus","False","False","False",,"Mercury","1","2"
"34893","Edward White Base","Base","StrongholdHabSchematic","4095","Project Exodus","False","False","True","4761",,"2","3"
"33838","Eisele Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","5330",,"1","2"
"29806","Farkas Base","Base","InfluenceHabSchematic","4095","Project Exodus","False","False","True","4680",,"1","2"
"34379","Fei Junlong Base","Base","StrongholdHabSchematic","4095","Project Exodus","False","False","True","4725",,"2","3"
"49551","Fuglesang Station","Station","MissionControlHabSchematic","4095","Project Exodus","False","False","False",,"22 Kalliope","1","2"
"34068","Gagarin Base","Base","LEOHabSchematic","4095","Project Exodus","False","False","True","4552",,"2","3"
"16149","Georgi Ivanov Base","Base","InfluenceHabSchematic","4095","Project Exodus","False","False","True","4635",,"2","3"
"29132","Hadfield Base","Base","StrongholdHabSchematic","4095","Project Exodus","False","False","True","4841",,"1","2"
"19242","Kanai Base","Base","StrongholdHabSchematic","4095","Project Exodus","False","False","True","4879",,"2","3"
"32410","Krikalev Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4818",,"2","3"
"32696","Leonov Base","Base","OperationsHabSchematic","4095","Project Exodus","False","False","True","4791",,"2","3"
"31929","Liu Wang Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4782",,"2","3"
"22027","Marcos Pontes Base","Base","MissionControlHabSchematic","4095","Project Exodus","False","False","True","5006",,"1","2"
"24887","Mattingly Base","Base","OperationsHabSchematic","4095","Project Exodus","False","False","True","4537",,"2","3"
"24556","Nie Haisheng Station","Station","InfluenceHabSchematic","4095","Project Exodus","False","False","False",,"21 Lutetia","1","2"
"27541","Ramon Base","Base","OperationsHabSchematic","4095","Project Exodus","False","False","True","4567",,"1","2"
"32932","Sarabhai Base","Base","LEOHabSchematic","4095","Project Exodus","False","False","True","4871",,"2","3"
"28698","Sharman Base","Base","InfluenceHabSchematic","4095","Project Exodus","False","False","True","4522",,"2","3"
"30411","Shephard Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4623",,"2","3"
"62491","Slayton Base","Base","ResearchHabSchematic","4095","Project Exodus","False","False","True","5065",,"1","2"
"34608","Swigert Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4945",,"1","2"
"31687","Titov Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4920",,"1","2"
"26849","Vandenberg Base","Base","MissionControlHabSchematic","4095","Project Exodus","False","False","True","4141",,"1","2"
"27249","Wakata Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4671",,"2","3"
"30883","Yamazaki Station","Station","ShipbuildingHabSchematic","4095","Project Exodus","False","False","False",,"53319 Thoth","1","2"
"10206","Yegorov Base","Base","ShipbuildingHabSchematic","4095","Project Exodus","False","False","True","4175",,"2","3"
