"SiteID","templateName","displayName","ParentBodyID","ParentBodyName","SolarMultiplier","Latitude","Longitude","WaterPerDay","VolatilesPerDay","MetalsPerDay","NoblesPerDay","FissilesPerDay","HasHab","HabID","HabType","HabSchematicTemplateName","IsShipyard","HabLevel","MCCost","FactionID","FactionName","MiningLevel","pendingHab"
"4109","MercurySite1","Tolkien Crater","3","Mercury","7.33472","88.82","149.92","0.0","0.3727417","3.007655","0.5356106","0.1994681","True","61564","Base",,"False","1","2","4089","the Resistance","1","True"
"4110","MercurySite2","Suisei Planitia","3","Mercury","7.33472","60.88","212.19","0.0","0.2476949","4.611247","0.4433587","0.5589619","True","61448","Base",,"False","1","2","4089","the Resistance","1","True"
"4111","MercurySite3","Tung Yuan Crater","3","Mercury","7.33472","75.02","297.17","0.07474273","0.1815366","3.323441","0.8435747","0.0","True","61592","Base",,"False","1","2","4089","the Resistance","1","True"
"4112","MercurySite4","Prokofiev Crater","3","Mercury","7.33472","85.77","62.92","0.07373468","0.3296759","3.705152","0.5134699","0.02431032","True","61536","Base",,"False","2","3","4089","the Resistance","2","True"
"4113","MercurySite5","Adventure Rupes","3","Mercury","7.33472","-65.48","294.7","0.0","0.3270655","3.542339","0.3381277","0.0","True","85202","Base","InfluenceHabSchematic","False","2","3","4093","the Protectorate","2","True"
"4114","MercurySite6","Boccaccio Crater","3","Mercury","7.33472","-80.99","89.85","0.02478318","0.3509094","3.08172","0.7349757","0.0","True","61620","Base",,"False","1","2","4089","the Resistance","1","True"
"4115","MercurySite7","Alver Crater","3","Mercury","7.33472","-66.97","77.25","0.0","0.7857039","3.692352","0.426327","0.0","True","76746","Base","ResearchHabSchematic","False","1","2","4090","Humanity First","1","True"
"4116","MercurySite8","Chao Meng-Fu Crater","3","Mercury","7.33472","-88.42","-156.36","0.0","0.2450991","6.001746","1.381891","0.0","True","61413","Base",,"False","1","2","4089","the Resistance","1","True"
"4133","LunaSite1","Mare Imbrium","6","Luna","0.996289","32.8","-15.6","0.0","0.0","0.2686311","0.0","0.0","True","39778","Base","OperationsHabSchematic","False","2","3","4094","the Academy","2","True"
"4134","LunaSite2","Peary Crater","6","Luna","0.996289","88.63","24.4","0.3058668","0.0","0.5295879","0.0","0.008684414","True","9082","Base","ResearchHabSchematic","False","2","3","4091","the Initiative","2","True"
"4135","LunaSite3","D'Alembert Crater","6","Luna","0.996289","50.8","163.9","0.0","0.009129549","0.4854115","0.0","0.01875321","False",,,,"False",,,,,"0","True"
"4136","LunaSite4","Copernicus Crater","6","Luna","0.996289","9.62","-20.08","0.0","0.03447655","0.8701304","0.0","0.007209925","True","10824","Base","ShipbuildingHabSchematic","True","3","4","4093","the Protectorate","3","True"
"4137","LunaSite5","Mare Tranquillitatis","6","Luna","0.996289","8.5","31.4","0.0","0.07159697","2.059604","0.0","0.0","True","59811","Base",,"False","1","2","4089","the Resistance","1","True"
"4138","LunaSite6","Korolev Crater","6","Luna","0.996289","-4.0","-157.4","0.0","0.07571426","0.3141099","0.0","0.6444925","True","9682","Base","ResearchHabSchematic","False","3","4","4092","the Servants","3","True"
"4139","LunaSite7","Tycho Crater","6","Luna","0.996289","-43.31","-11.36","0.0","0.07787105","1.36534","0.0","0.0","True","59839","Base",,"False","1","2","4089","the Resistance","1","True"
"4140","LunaSite8","Shackleton Crater","6","Luna","0.996289","-89.9","0.0","0.3005847","0.0","1.473682","0.0","0.01175381","True","61266","Base",,"False","2","3","4089","the Resistance","2","True"
"4141","LunaSite9","Tsiolkovskiy Crater","6","Luna","0.996289","-20.4","129.1","0.0","0.1616473","0.2825754","0.0","0.0","True","26849","Base","MissionControlHabSchematic","False","1","2","4095","Project Exodus","1","True"
"4149","MarsSite1","Arcadia Planitia","7","Mars","0.388321","47.2","184.3","3.156532","0.9185148","0.7311546","0.03245592","2.258045","True","11580","Base",,"False","2","3","4089","the Resistance","0","True"
"4150","MarsSite2","Tantalus Fossae","7","Mars","0.388321","50.9","-97.5","3.303164","1.079066","0.4164507","0.0","1.182096","True","96861","Base",,"False","2","3","4089","the Resistance","2","True"
"4151","MarsSite3","Tempe Terra","7","Mars","0.388321","40.0","-70.0","0.8900418","1.298551","2.08127","0.0","0.005414557","True","19981","Base",,"False","2","3","4089","the Resistance","2","True"
"4152","MarsSite4","Acidalia Planitia","7","Mars","0.388321","49.8","339.3","3.363628","1.287549","0.6445867","0.0","0.0117617","True","22066","Base","InfluenceHabSchematic","False","2","3","4093","the Protectorate","2","True"
"4153","MarsSite5","Utopia Planitia","7","Mars","0.388321","47.7","117.5","3.293417","1.412355","0.4280686","0.0","2.217003","True","12625","Base",,"False","2","3","4089","the Resistance","1","True"
"4154","MarsSite6","Olympus Mons","7","Mars","0.388321","18.65","226.2","0.1674673","1.834335","1.556177","0.5187258","0.0","True","20068","Base",,"False","2","3","4089","the Resistance","2","True"
"4155","MarsSite7","Ares Valles","7","Mars","0.388321","10.4","-25.8","0.3532226","0.8699686","2.347917","0.06395094","0.003119762","True","21719","Base","ResearchHabSchematic","False","3","4","4092","the Servants","3","True"
"4156","MarsSite8","Arabia Terra","7","Mars","0.388321","19.79","30.0","1.419817","1.354253","1.62549","0.0","0.0","True","23930","Base",,"False","2","3","4089","the Resistance","2","True"
"4157","MarsSite9","Isidis Planitia","7","Mars","0.388321","12.9","87.0","1.345213","1.282999","1.046916","0.0","0.02095291","True","24264","Base","ResearchHabSchematic","False","2","3","4093","the Protectorate","2","True"
"4158","MarsSite10","Elysium Planitia","7","Mars","0.388321","3.0","154.7","1.388925","1.289685","1.408759","0.0","0.0","True","25809","Base","ResearchHabSchematic","False","2","3","4092","the Servants","2","True"
"4159","MarsSite11","Tharsis Montes","7","Mars","0.388321","1.57","-112.58","0.5721149","1.75356","2.531056","0.9078103","0.0","True","11937","Base",,"False","2","3","4089","the Resistance","2","True"
"4160","MarsSite12","Noctis Labyrinthus","7","Mars","0.388321","-7.0","-102.2","0.6656638","0.2704311","3.387966","0.4127435","0.0","True","23193","Base","ResearchHabSchematic","False","2","3","4092","the Servants","2","True"
"4161","MarsSite13","Xanthe Terra","7","Mars","0.388321","3.0","312.0","1.251957","1.025807","0.747363","0.06145881","0.0","True","22100","Base","MoneyHabSchematic","False","3","4","4092","the Servants","3","True"
"4162","MarsSite14","Schiaparelli Crater","7","Mars","0.388321","-2.7","16.7","0.4303663","0.6240227","0.4832188","0.2416094","0.02148791","True","22509","Base","ResearchHabSchematic","False","2","3","4092","the Servants","2","True"
"4163","MarsSite15","Terra Sabaea","7","Mars","0.388321","2.0","42.0","1.32675","0.5919704","1.054357","0.2779195","0.02261148","True","23704","Base","ShipbuildingHabSchematic","True","2","3","4093","the Protectorate","2","True"
