"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"61620","Agrippa Base","Base",,"4089","the Resistance","False","False","True","4114",,"1","2"
"59433","Albemarle Station","Station",,"4089","the Resistance","False","False","False",,"Earth","2","3"
"13514","Alexander the Great Base","Base",,"4089","the Resistance","False","False","True","4164",,"2","3"
"26093","Bradley Base","Base",,"4089","the Resistance","False","False","True","4746",,"1","2"
"23930","Clemenceau Base","Base",,"4089","the Resistance","False","False","True","4156",,"2","3"
"61266","Collingwood Base","Base",,"4089","the Resistance","False","False","True","4140",,"2","3"
"52514","Comte de Grasse Station","Station",,"4089","the Resistance","True","False","False",,"Earth","3","4"
"26243","Farragut Base","Base",,"4089","the Resistance","False","False","True","4499",,"2","3"
"19981","Francisco Javier Mina Base","Base",,"4089","the Resistance","False","False","True","4151",,"2","3"
"46949","Garabaldi Base","Base",,"4089","the Resistance","False","False","True","4498",,"1","2"
"61413","Ignacio Allende Base","Base",,"4089","the Resistance","False","False","True","4116",,"1","2"
"11937","Iron Duke Base","Base",,"4089","the Resistance","False","False","True","4159",,"2","3"
"11580","Jean Bart Base","Base",,"4089","the Resistance","False","False","True","4149",,"2","3"
"61592","Jean Moulin Base","Base",,"4089","the Resistance","False","False","True","4111",,"1","2"
"12625","Jeanne d'Arc Base","Base",,"4089","the Resistance","False","False","True","4153",,"2","3"
"22830","Kilimanjaro Base","Base","ShipbuildingHabSchematic","4089","the Resistance","False","False","True","4999",,"2","3"
"27193","Kinkaid Station","Station",,"4089","the Resistance","False","False","False",,"Mars","3","4"
"59338","Li Mu Station","Station",,"4089","the Resistance","True","False","False",,"Earth","2","3"
"61536","Moosbrugger Base","Base",,"4089","the Resistance","False","False","True","4112",,"2","3"
"44805","Nakhimov Base","Base",,"4089","the Resistance","False","False","True","4497",,"1","2"
"24641","Nelson Base","Base",,"4089","the Resistance","False","False","True","4512",,"2","3"
"59839","Potempkin Base","Base",,"4089","the Resistance","False","False","True","4139",,"1","2"
"20068","Qin Liangyu Base","Base",,"4089","the Resistance","False","False","True","4154",,"2","3"
"64495","Ryu Seong-ryong Station","Station",,"4089","the Resistance","False","False","False",,"Mercury","3","4"
"25413","Scipio Base","Base",,"4089","the Resistance","False","False","True","4821",,"1","2"
"59965","Shaka Station","Station",,"4089","the Resistance","False","False","False",,"Earth","2","3"
"61448","Skanderbeg Base","Base",,"4089","the Resistance","False","False","True","4110",,"1","2"
"49384","Spruance Base","Base",,"4089","the Resistance","False","False","True","4990",,"1","2"
"45478","Subutai Station","Station",,"4089","the Resistance","False","False","False",,"Luna","1","2"
"96861","Sun Tzu Base","Base",,"4089","the Resistance","False","False","True","4150",,"2","3"
"45376","Swamp Fox Base","Base",,"4089","the Resistance","False","False","True","4605",,"1","2"
"61564","Themistocles Base","Base",,"4089","the Resistance","False","False","True","4109",,"1","2"
"59811","Turget Reis Base","Base",,"4089","the Resistance","False","False","True","4137",,"1","2"
"96888","Zhang He Base","Base",,"4089","the Resistance","False","False","True","4172",,"2","3"
"42828","Aconcagua Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4590",,"2","3"
"34956","Aoba Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","5008",,"2","3"
"41012","Blackburn Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4770",,"1","2"
"27783","Blue Ridge Station","Station","ShipbuildingHabSchematic","4090","Humanity First","False","False","False",,"27 Euterpe","1","2"
"28386","Chhogori Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4549",,"1","2"
"43016","Chikuma Base","Base","OperationsHabSchematic","4090","Humanity First","False","False","True","4873",,"2","3"
"41320","Culebra Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4508",,"2","3"
"37058","Everest Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4987",,"2","3"
"36720","Furutaka Base","Base","StrongholdHabSchematic","4090","Humanity First","False","False","True","4728",,"2","3"
"40747","Hiei Base","Base","StrongholdHabSchematic","4090","Humanity First","False","False","True","4992",,"2","3"
"41786","Katsuragi Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4755",,"2","3"
