"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"42828","Aconcagua Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4590",,"2","3"
"34956","Aoba Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","5008",,"2","3"
"41012","Blackburn Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4770",,"1","2"
"27783","Blue Ridge Station","Station","ShipbuildingHabSchematic","4090","Humanity First","False","False","False",,"27 Euterpe","1","2"
"28386","Chhogori Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4549",,"1","2"
"43016","Chikuma Base","Base","OperationsHabSchematic","4090","Humanity First","False","False","True","4873",,"2","3"
"41320","Culebra Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4508",,"2","3"
"37058","Everest Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4987",,"2","3"
"36720","Furutaka Base","Base","StrongholdHabSchematic","4090","Humanity First","False","False","True","4728",,"2","3"
"40747","Hiei Base","Base","StrongholdHabSchematic","4090","Humanity First","False","False","True","4992",,"2","3"
"41786","Katsuragi Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4755",,"2","3"
"80790","Kearsarge Station","Station","ShipbuildingHabSchematic","4090","Humanity First","False","False","False",,"Venus","1","2"
"18505","Kongo Base","Base","InfluenceHabSchematic","4090","Humanity First","False","False","True","4692",,"1","2"
"35460","Mauna Kea Base","Base","StrongholdHabSchematic","4090","Humanity First","False","False","True","4958",,"2","3"
"76746","Maya Base","Base","ResearchHabSchematic","4090","Humanity First","False","False","True","4115",,"1","2"
"32752","Myoko Base","Base","ResearchHabSchematic","4090","Humanity First","False","False","True","5013",,"2","3"
"32986","Nachi Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4800",,"1","2"
"34121","Nanga Parbat Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4911",,"1","2"
"37944","Olympus Base","Base",,"4090","Humanity First","False","False","True","4835",,"2","3"
"37658","Rainier Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","5058",,"2","3"
"30346","Takao Base","Base","ResearchHabSchematic","4090","Humanity First","False","False","True","4815",,"1","2"
"36654","Talamanca Base","Base","ShipbuildingHabSchematic","4090","Humanity First","False","False","True","4767",,"1","2"
