"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3653","Senegambia",,"200492815266.988",,,"7.003623","7.130406","2.583375",,"3.763125",,"1.595","0.7975","3654"
"3216","Armenia",,"69930583042.1431",,,"7.010601","8.06176","0.0",,"2.020449",,"1.848333","1.848333","3217"
"3246","Bangladesh",,"1692871054119.46",,,"7.00048","8.74136","0.5292315",,"3.115125",,"5.93333","1.9777766666666666666666666667","3247"
"3246","Bangladesh",,"1692871054119.46",,,"7.00048","8.74136","0.5292315",,"3.115125",,"5.93333","1.9777766666666666666666666667","3248"
"3246","Bangladesh",,"1692871054119.46",,,"7.00048","8.74136","0.5292315",,"3.115125",,"5.93333","1.9777766666666666666666666667","3249"
"3509","Malaysia",,"1247063080699.6",,,"7.131681","5.620996","0.8118408",,"3.581788",,"9.808351","3.2694503333333333333333333333","3510"
"3401","Gulf States",,"747615830363.393",,,"7.563048","4.36327","0.0",,"3.354892",,"7.333344","2.444448","3402"
"3509","Malaysia",,"1247063080699.6",,,"7.131681","5.620996","0.8118408",,"3.581788",,"9.808351","3.2694503333333333333333333333","3511"
"3509","Malaysia",,"1247063080699.6",,,"7.131681","5.620996","0.8118408",,"3.581788",,"9.808351","3.2694503333333333333333333333","3512"
"3401","Gulf States",,"747615830363.393",,,"7.563048","4.36327","0.0",,"3.354892",,"7.333344","2.444448","3403"
"3668","Singapore",,"799834768333.555",,,"7.134636","9.959881","0.0",,"2.090004",,"13.77498","4.59166","3670"
"3718","Taiwan",,"1938680342427.41",,,"9.494795","4.406054","0.0",,"2.661719",,"11.73339","3.91113","3719"
"3718","Taiwan",,"1938680342427.41",,,"9.494795","4.406054","0.0",,"2.661719",,"11.73339","3.91113","3720"
"3718","Taiwan",,"1938680342427.41",,,"9.494795","4.406054","0.0",,"2.661719",,"11.73339","3.91113","3721"
"3586","Paraguay",,"138240289732.214",,,"7.03686","6.783981","1.943747",,"3.550052",,"1.315","0.6575","3587"
"3586","Paraguay",,"138240289732.214",,,"7.03686","6.783981","1.943747",,"3.550052",,"1.315","0.6575","3588"
"3315","China",,"41285079285966.1",,,"1.96771","2.579625","0.0",,"5.537746",,"6.38","0.9114285714285714285714285714","3316"
"3263","Bolivia",,"135885293270.625",,,"5.660001","3.976943","4.963661",,"3.516658",,"0.5183334","0.2591667","3265"
"3401","Gulf States",,"747615830363.393",,,"7.563048","4.36327","0.0",,"3.354892",,"7.333344","2.444448","34304"
"3803","Zimbabwe",,"71652613949.3755",,,"2.612978","7.357519","2.751504",,"3.964863",,"0.7516667","0.7516667","3804"
"3263","Bolivia",,"135885293270.625",,,"5.660001","3.976943","4.963661",,"3.516658",,"0.5183334","0.2591667","3264"
"3411","Honduras",,"55205503703.5901",,,"3.82322","3.693689","4.166641",,"3.436208",,"0.35","0.35","3412"
"3241","Croatia-Slovenia",,"279148656536.126",,,"8.015215","8.957581","0.0",,"1.874154",,"4.848341","2.4241705","3242"
"3334","Cuba",,"253277695773.866",,,"2.292559","9.130823","0.0",,"3.416488",,"5.28833","2.644165","3335"
"3811","Liberia",,"16547048411.5159",,,"5.278741","6.506944","3.836055",,"3.348756",,"0.0","0.0","3812"
"3653","Senegambia",,"200492815266.988",,,"7.003623","7.130406","2.583375",,"3.763125",,"1.595","0.7975","13505"
"3647","Saudi Arabia",,"2707149477779.79",,,"1.683986","5.966738","0.0",,"4.168259",,"4.354998","1.0887495","3649"
"3236","Lithuania",,"238099614504.885",,,"8.626887","8.030492","0.0",,"1.214273",,"0.09833333","0.049166665","3237"
"3647","Saudi Arabia",,"2707149477779.79",,,"1.683986","5.966738","0.0",,"4.168259",,"4.354998","1.0887495","3648"
"3231","Azerbaijan",,"330508512336.282",,,"2.290175","10.0","0.0",,"3.211264",,"2.388332","1.194166","3232"
"3236","Lithuania",,"238099614504.885",,,"8.626887","8.030492","0.0",,"1.214273",,"0.09833333","0.049166665","3238"
"3362","Ethiopia",,"529534602815.223",,,"2.823461","8.721451","0.2911035",,"3.496709",,"0.0","0.0","3363"
"3231","Azerbaijan",,"330508512336.282",,,"2.290175","10.0","0.0",,"3.211264",,"2.388332","1.194166","3233"
"3678","South Africa",,"385094937474.673",,,"0.0","0.9500023","4.80706",,"6.109034",,"0.0","0.0","3680"
"3360","Eritrea",,"38972386086.1832",,,"2.14098","9.389421","0.2211093",,"3.505589",,"0.9716666","0.9716666","3361"
"3362","Ethiopia",,"529534602815.223",,,"2.823461","8.721451","0.2911035",,"3.496709",,"0.0","0.0","3364"
"3559","North Korea",,"47906254445.7162",,,"0.0","1.339122","4.779037",,"6.465766",,"0.6574996","0.6574996","3560"
"3676","Somaliland",,"11866972995.48",,,"5.29566","8.202206","2.079093",,"3.868775",,"0.345","0.345","3677"
"3561","Bosnia-Herzegovina-Montenegro",,"46364777765.1221",,,"2.075132","0.0","7.381139",,"1.423345",,"0.265","0.265","3562"
