"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3370","European Union",,"3871101962721.73",,,"8.094223","2.978592","0.6279221",,"2.711594",,"13.70347","3.4258675","3371"
"3270","Brazil",,"5434680521813.99",,,"7.040666","3.481828","3.093273",,"4.259998",,"6.325012","1.581253","3271"
"3270","Brazil",,"5434680521813.99",,,"7.040666","3.481828","3.093273",,"4.259998",,"6.325012","1.581253","3272"
"3354","Egypt",,"2183444528489.31",,,"2.849023","7.961008","0.0",,"2.972058",,"5.508325","1.8361083333333333333333333333","3355"
"3354","Egypt",,"2183444528489.31",,,"2.849023","7.961008","0.0",,"2.972058",,"5.508325","1.8361083333333333333333333333","3357"
"3270","Brazil",,"5434680521813.99",,,"7.040666","3.481828","3.093273",,"4.259998",,"6.325012","1.581253","3273"
"3270","Brazil",,"5434680521813.99",,,"7.040666","3.481828","3.093273",,"4.259998",,"6.325012","1.581253","3274"
"3744","Türkiye",,"4669480518806.65",,,"7.97024","4.657697","0.5727752",,"3.992539",,"4.468343","1.11708575","3745"
"3441","Iraq",,"943572960334.898",,,"4.891818","7.03641","1.478783",,"2.850216",,"2.108334","0.702778","3442"
"3288","Cameroon",,"435793078999.535",,,"2.270379","9.299997","0.0",,"3.901359",,"1.775","0.8875","3289"
"3553","Niger",,"268517942744.232",,,"3.136801","8.751446","1.032997",,"3.587482",,"0.9716666","0.4858333","3554"
"3288","Cameroon",,"435793078999.535",,,"2.270379","9.299997","0.0",,"3.901359",,"1.775","0.8875","3290"
"3469","Jordan",,"284780565830.723",,,"3.152823","9.299997","0.0",,"2.973876",,"1.128333","0.5641665","3470"
"3441","Iraq",,"943572960334.898",,,"4.891818","7.03641","1.478783",,"2.850216",,"2.108334","0.702778","3443"
"3819","Djibouti",,"19782916473.7001",,,"2.636547","10.0","0.0",,"3.369535",,"1.148333","1.148333","3820"
"3455","Ivory Coast",,"282018555605.73",,,"6.693472","7.916639","1.733717",,"3.508333",,"1.591667","0.7958335","3456"
"3455","Ivory Coast",,"282018555605.73",,,"6.693472","7.916639","1.733717",,"3.508333",,"1.591667","0.7958335","3457"
"3354","Egypt",,"2183444528489.31",,,"2.849023","7.961008","0.0",,"2.972058",,"5.508325","1.8361083333333333333333333333","3356"
"3515","Mauritania",,"75313934391.6439",,,"7.017889","9.2788","0.0",,"3.241907",,"0.7166668","0.7166668","3516"
"3469","Jordan",,"284780565830.723",,,"3.152823","9.299997","0.0",,"2.973876",,"1.128333","0.5641665","3471"
"3647","Saudi Arabia",,"2707149477779.79",,,"1.683986","5.966738","0.0",,"4.168259",,"4.354998","1.0887495","3650"
"3322","Colombia",,"1104066785390.26",,,"7.002019","5.861523","2.265484",,"3.814433",,"0.925","0.3083333333333333333333333333","3325"
"3322","Colombia",,"1104066785390.26",,,"7.002019","5.861523","2.265484",,"3.814433",,"0.925","0.3083333333333333333333333333","3323"
"3322","Colombia",,"1104066785390.26",,,"7.002019","5.861523","2.265484",,"3.814433",,"0.925","0.3083333333333333333333333333","3324"
"3532","Morocco",,"500419759750.862",,,"7.012085","5.998455","3.270121",,"3.852132",,"1.314999","0.6574995","3533"
"3532","Morocco",,"500419759750.862",,,"7.012085","5.998455","3.270121",,"3.852132",,"1.314999","0.6574995","3534"
"3795","Yemen",,"195891298792.93",,,"1.232336","10.0","0.0",,"3.334246",,"3.566665","1.7833325","3796"
"3447","Israel",,"706068377170.999",,,"9.269388","7.427784","0.0",,"2.606452",,"5.213326","1.7377753333333333333333333333","3448"
"3447","Israel",,"706068377170.999",,,"9.269388","7.427784","0.0",,"2.606452",,"5.213326","1.7377753333333333333333333333","3449"
"3441","Iraq",,"943572960334.898",,,"4.891818","7.03641","1.478783",,"2.850216",,"2.108334","0.702778","36365"
"3553","Niger",,"268517942744.232",,,"3.136801","8.751446","1.032997",,"3.587482",,"0.9716666","0.4858333","36929"
"3286","Cambodia",,"230717795385.687",,,"2.542281","10.0","0.0",,"3.540746",,"3.283586","1.641793","3287"
"3795","Yemen",,"195891298792.93",,,"1.232336","10.0","0.0",,"3.334246",,"3.566665","1.7833325","40201"
"3302","Cabo Verde",,"10428250916.1838",,,"7.038822","10.0","0.0",,"1.981115",,"1.566667","1.566667","3303"
"3492","Laos",,"153730201326.973",,,"1.31083","10.0","0.0",,"3.631186",,"3.606667","1.8033335","35377"
"3492","Laos",,"153730201326.973",,,"1.31083","10.0","0.0",,"3.631186",,"3.606667","1.8033335","3493"
"3707","Suriname",,"8515748052.64653",,,"5.949252","1.956531","4.834671",,"4.286764",,"0.5583333","0.5583333","3708"
"3370","European Union",,"3871101962721.73",,,"8.094223","2.978592","0.6279221",,"2.711594",,"13.70347","3.4258675","3372"
"3370","European Union",,"3871101962721.73",,,"8.094223","2.978592","0.6279221",,"2.711594",,"13.70347","3.4258675","3374"
"3370","European Union",,"3871101962721.73",,,"8.094223","2.978592","0.6279221",,"2.711594",,"13.70347","3.4258675","3373"
"3647","Saudi Arabia",,"2707149477779.79",,,"1.683986","5.966738","0.0",,"4.168259",,"4.354998","1.0887495","61244"
"3513","Mali",,"164943260196.793",,,"2.608229","9.412137","0.5146154",,"3.637207",,"0.9083333","0.45416665","24246"
"3513","Mali",,"164943260196.793",,,"2.608229","9.412137","0.5146154",,"3.637207",,"0.9083333","0.45416665","3514"
"3447","Israel",,"706068377170.999",,,"9.269388","7.427784","0.0",,"2.606452",,"5.213326","1.7377753333333333333333333333","66272"
"3774","Uruguay",,"153774517818.905",,,"8.823942","7.405777","0.0",,"2.489465",,"3.671666","1.835833","3775"
"3774","Uruguay",,"153774517818.905",,,"8.823942","7.405777","0.0",,"2.489465",,"3.671666","1.835833","3776"
"3535","Mozambique",,"101151413757.199",,,"1.779482","9.606397","0.6610901",,"4.419453",,"0.405","0.2025","3536"
"3691","Albania",,"37114877941.4458",,,"5.821727","1.1818","5.155007",,"1.0",,"0.0","0.0","3692"
"3310","Chad",,"55243587766.3625",,,"0.9977568","3.382922","4.995074",,"6.127986",,"0.4716668","0.4716668","3311"
"3678","South Africa",,"385094937474.673",,,"0.0","0.9500023","4.80706",,"6.109034",,"0.0","0.0","3681"
"3535","Mozambique",,"101151413757.199",,,"1.779482","9.606397","0.6610901",,"4.419453",,"0.405","0.2025","81404"
"3621","Republic of the Congo",,"83962297278.2926",,,"2.248894","9.721518","0.0",,"3.863928",,"1.841667","0.9208335","3622"
