"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"27826","Anoshirvan Station","Station","InfluenceHabSchematic","4093","the Protectorate","False","False","False",,"20 Massalia","3","4"
"45510","Augustus Station","Station","InfluenceHabSchematic","4093","the Protectorate","False","False","False",,"55 Pandora","3","4"
"21960","Caesar Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4170",,"3","4"
"44958","Casimir III the Great Station","Station","InfluenceHabSchematic","4093","the Protectorate","False","False","False",,"8 Flora","3","4"
"22779","Catherine the Great Base","Base","StrongholdHabSchematic","4093","the Protectorate","False","False","True","4584",,"2","3"
"29490","Churchill Base","Base","ResearchHabSchematic","4093","the Protectorate","False","False","True","4794",,"2","3"
"24848","Constantine Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4168",,"2","3"
"26893","Garibaldi Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4809",,"2","3"
"85202","Huangbo Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4113",,"2","3"
"24264","Lilouokalani Base","Base","ResearchHabSchematic","4093","the Protectorate","False","False","True","4157",,"2","3"
"10824","Llywelyn Base","Base","ShipbuildingHabSchematic","4093","the Protectorate","False","False","True","4136",,"3","4"
"50305","Maria Theresa Station","Station","InfluenceHabSchematic","4093","the Protectorate","False","False","False",,"Venus","3","4"
"29077","Musa Keita Base","Base","ShipbuildingHabSchematic","4093","the Protectorate","False","False","True","4656",,"2","3"
"28061","Peter the Great Base","Base","StrongholdHabSchematic","4093","the Protectorate","False","False","True","4632",,"2","3"
"17690","Qin Shi Huangdi Base","Base","ShipbuildingHabSchematic","4093","the Protectorate","False","False","True","4169",,"3","4"
"25531","Roosevelt Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4166",,"2","3"
"26139","Saladin Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4167",,"2","3"
"76203","Sonni Ali Base","Base","ShipbuildingHabSchematic","4093","the Protectorate","False","False","True","4561",,"1","2"
"23704","Taizong Base","Base","ShipbuildingHabSchematic","4093","the Protectorate","False","False","True","4163",,"2","3"
"73309","Washington Station","Station","InfluenceHabSchematic","4093","the Protectorate","False","False","False",,"Mercury","2","3"
"22066","Willem de Zwijger Base","Base","InfluenceHabSchematic","4093","the Protectorate","False","False","True","4152",,"2","3"
"45602","Xerxes Station","Station","InfluenceHabSchematic","4093","the Protectorate","False","False","False",,"196 Philomela","3","4"
