"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3389","Greece",,"629781337799.115",,,"9.005535","7.391756","0.0",,"2.246212",,"3.626663","1.2088876666666666666666666667","3391"
"3565","Norway",,"709536140891.179",,,"9.551811","6.981955","0.0",,"2.676872",,"0.6749999","0.2249999666666666666666666667","3567"
"3342","Denmark",,"562548497959.413",,,"9.852199","8.203907","0.0",,"1.735981",,"0.4733332","0.2366666","3343"
"3277","Bulgaria",,"264491349657.544",,,"9.031205","7.301153","0.0",,"3.436196",,"3.568337","1.7841685","3279"
"3633","Romania",,"962600265187.023",,,"9.000463","6.205892","0.0",,"2.871415",,"2.831662","0.9438873333333333333333333333","3634"
"3600","Poland",,"2394213884545.75",,,"9.001187","5.650997","0.0",,"2.40401",,"4.541677","1.5138923333333333333333333333","3603"
"3342","Denmark",,"562548497959.413",,,"9.852199","8.203907","0.0",,"1.735981",,"0.4733332","0.2366666","3344"
"3744","Türkiye",,"4669480518806.65",,,"7.97024","4.657697","0.5727752",,"3.992539",,"4.468343","1.11708575","3747"
"3805","Rwanda-Burundi",,"129362048684.332",,,"3.139836","8.235981","1.924267",,"3.774446",,"1.54","0.77","3806"
"3417","Hungary",,"521195037892.659",,,"9.011633","7.18024","0.0",,"2.245574",,"4.446523","2.2232615","3419"
"3424","India",,"10583199970823.4",,,"5.990814","0.5210963","2.194695",,"4.184272",,"3.896667","0.7793334","3425"
"3424","India",,"10583199970823.4",,,"5.990814","0.5210963","2.194695",,"4.184272",,"3.896667","0.7793334","3428"
"3424","India",,"10583199970823.4",,,"5.990814","0.5210963","2.194695",,"4.184272",,"3.896667","0.7793334","3429"
"3437","Iran",,"1982239868293.54",,,"2.092748","7.630497","0.0",,"4.36694",,"2.176668","0.725556","3440"
"3600","Poland",,"2394213884545.75",,,"9.001187","5.650997","0.0",,"2.40401",,"4.541677","1.5138923333333333333333333333","3602"
"3437","Iran",,"1982239868293.54",,,"2.092748","7.630497","0.0",,"4.36694",,"2.176668","0.725556","3439"
"3744","Türkiye",,"4669480518806.65",,,"7.97024","4.657697","0.5727752",,"3.992539",,"4.468343","1.11708575","3748"
"3537","Myanmar",,"466208421762.357",,,"1.078714","9.981895","0.0",,"3.183896",,"1.588212","0.794106","3539"
"3277","Bulgaria",,"264491349657.544",,,"9.031205","7.301153","0.0",,"3.436196",,"3.568337","1.7841685","3278"
"3228","Austria",,"750601593488.906",,,"9.3151","7.858442","0.0",,"1.727925",,"4.57501","1.5250033333333333333333333333","3229"
"3209","Angola",,"202360051784.461",,,"2.188617","4.197186","4.990713",,"4.384583",,"0.8133685","0.40668425","3210"
"3228","Austria",,"750601593488.906",,,"9.3151","7.858442","0.0",,"1.727925",,"4.57501","1.5250033333333333333333333333","3230"
"3212","Argentina",,"1112839089943.86",,,"6.924729","1.076567","4.923347",,"2.587327",,"6.804756","2.268252","3214"
"3212","Argentina",,"1112839089943.86",,,"6.924729","1.076567","4.923347",,"2.587327",,"6.804756","2.268252","3215"
"3339","Czech Republic",,"810484571061.152",,,"9.015921","9.000874","0.0",,"1.50925",,"3.725007","1.241669","40200"
"3212","Argentina",,"1112839089943.86",,,"6.924729","1.076567","4.923347",,"2.587327",,"6.804756","2.268252","3213"
"3239","Estonia",,"112687213933.645",,,"9.032273","9.453594","0.0",,"1.735473",,"0.06419026","0.03209513","3240"
"3339","Czech Republic",,"810484571061.152",,,"9.015921","9.000874","0.0",,"1.50925",,"3.725007","1.241669","3341"
"3805","Rwanda-Burundi",,"129362048684.332",,,"3.139836","8.235981","1.924267",,"3.774446",,"1.54","0.77","49491"
"3671","Slovakia",,"277167289824.745",,,"9.020844","9.299997","0.0",,"1.51396",,"4.575011","2.2875055","3673"
"3209","Angola",,"202360051784.461",,,"2.188617","4.197186","4.990713",,"4.384583",,"0.8133685","0.40668425","3211"
"3724","Tanzania",,"320229196504.803",,,"4.513787","5.948217","3.691603",,"3.32711",,"1.541666","0.770833","3725"
"3716","Syria",,"73201718835.1916",,,"1.452585","10.0","0.1931911",,"3.564627",,"0.3333333","0.3333333","3717"
"3450","Italy",,"3509340044023.74",,,"9.503275","4.434126","0.0",,"2.589775",,"7.30167","1.8254175","3452"
"3565","Norway",,"709536140891.179",,,"9.551811","6.981955","0.0",,"2.676872",,"0.6749999","0.2249999666666666666666666667","61950"
"3724","Tanzania",,"320229196504.803",,,"4.513787","5.948217","3.691603",,"3.32711",,"1.541666","0.770833","3726"
"3365","Finland",,"567938035311.168",,,"9.235237","10.0","0.0",,"1.379114",,"0.2216667","0.11083335","3366"
"3498","Libya",,"195024653181.675",,,"1.357351","10.0","0.0",,"3.416495",,"0.7083336","0.3541668","3499"
"3396","Guatemala",,"157764623132.772",,,"4.946396","8.035859","3.318542",,"3.742341",,"0.2916667","0.14583335","3397"
"3396","Guatemala",,"157764623132.772",,,"4.946396","8.035859","3.318542",,"3.742341",,"0.2916667","0.14583335","3398"
"3498","Libya",,"195024653181.675",,,"1.357351","10.0","0.0",,"3.416495",,"0.7083336","0.3541668","3500"
"3722","Tajikistan",,"71247882545.0344",,,"1.926083","9.003263","0.09040999",,"3.271477",,"2.512744","2.512744","3723"
"3479","Kenya",,"366492387375.105",,,"5.016665","6.356225","3.924652",,"3.288551",,"1.541667","0.7708335","3480"
"3479","Kenya",,"366492387375.105",,,"5.016665","6.356225","3.924652",,"3.288551",,"1.541667","0.7708335","3481"
"3389","Greece",,"629781337799.115",,,"9.005535","7.391756","0.0",,"2.246212",,"3.626663","1.2088876666666666666666666667","99094"
"3202","Afghanistan",,"255928377991.934",,,"0.5760853","8.806871","0.0",,"3.711271",,"3.014309","1.5071545","12547"
"3202","Afghanistan",,"255928377991.934",,,"0.5760853","8.806871","0.0",,"3.711271",,"3.014309","1.5071545","3203"
"3228","Austria",,"750601593488.906",,,"9.3151","7.858442","0.0",,"1.727925",,"4.57501","1.5250033333333333333333333333","39289"
