"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3476","Kazakhstan",,"746670230587.749",,,"6.82985","9.605653","0.0",,"2.980038",,"8.953368","2.984456","3477"
"3476","Kazakhstan",,"746670230587.749",,,"6.82985","9.605653","0.0",,"2.980038",,"8.953368","2.984456","3478"
"3530","Mongolia",,"83010584228.5603",,,"6.326585","9.559416","0.0",,"4.040316",,"5.251678","2.625839","3531"
"3501","Lower Guinean States",,"90736070596.7132",,,"4.929633","2.078114","6.698228",,"5.558836",,"7.041681","3.5208405","3502"
"3765","United States of North America",,"31504787626183.1",,,"10.0","3.140469","0.0",,"4.778816",,"19.15172","2.73596","3766"
"3765","United States of North America",,"31504787626183.1",,,"10.0","3.140469","0.0",,"4.778816",,"19.15172","2.73596","3767"
"3765","United States of North America",,"31504787626183.1",,,"10.0","3.140469","0.0",,"4.778816",,"19.15172","2.73596","3768"
"3765","United States of North America",,"31504787626183.1",,,"10.0","3.140469","0.0",,"4.778816",,"19.15172","2.73596","3769"
"3765","United States of North America",,"31504787626183.1",,,"10.0","3.140469","0.0",,"4.778816",,"19.15172","2.73596","3770"
"3765","United States of North America",,"31504787626183.1",,,"10.0","3.140469","0.0",,"4.778816",,"19.15172","2.73596","3771"
"3462","Japan",,"6556079197300.01",,,"10.0","7.529411","0.0",,"3.07162",,"21.83659","5.4591475","3463"
"3462","Japan",,"6556079197300.01",,,"10.0","7.529411","0.0",,"3.07162",,"21.83659","5.4591475","3464"
"3462","Japan",,"6556079197300.01",,,"10.0","7.529411","0.0",,"3.07162",,"21.83659","5.4591475","3465"
"3462","Japan",,"6556079197300.01",,,"10.0","7.529411","0.0",,"3.07162",,"21.83659","5.4591475","3466"
"3758","United Kingdom",,"4065587325189.84",,,"10.0","8.36351","0.0",,"3.722302",,"14.56007","3.6400175","3759"
"3758","United Kingdom",,"4065587325189.84",,,"10.0","8.36351","0.0",,"3.722302",,"14.56007","3.6400175","3760"
"3476","Kazakhstan",,"746670230587.749",,,"6.82985","9.605653","0.0",,"2.980038",,"8.953368","2.984456","34305"
"3758","United Kingdom",,"4065587325189.84",,,"10.0","8.36351","0.0",,"3.722302",,"14.56007","3.6400175","3761"
"3758","United Kingdom",,"4065587325189.84",,,"10.0","8.36351","0.0",,"3.722302",,"14.56007","3.6400175","3762"
"3609","Quebec",,"741759757357.477",,,"10.0","9.9521","0.0",,"2.276165",,"8.166692","2.7222306666666666666666666667","36698"
"3609","Quebec",,"741759757357.477",,,"10.0","9.9521","0.0",,"2.276165",,"8.166692","2.7222306666666666666666666667","36699"
"3609","Quebec",,"741759757357.477",,,"10.0","9.9521","0.0",,"2.276165",,"8.166692","2.7222306666666666666666666667","3610"
"3501","Lower Guinean States",,"90736070596.7132",,,"4.929633","2.078114","6.698228",,"5.558836",,"7.041681","3.5208405","41778"
"3315","China",,"41285079285966.1",,,"1.96771","2.579625","0.0",,"5.537746",,"6.38","0.9114285714285714285714285714","3317"
"3315","China",,"41285079285966.1",,,"1.96771","2.579625","0.0",,"5.537746",,"6.38","0.9114285714285714285714285714","3318"
"3530","Mongolia",,"83010584228.5603",,,"6.326585","9.559416","0.0",,"4.040316",,"5.251678","2.625839","95358"
