"HabID","HabName","HabType","HabSchematicTemplateName","FactionID","FactionName","InEarthLEO","StaticHab","HasHabSite","HabSiteID","OrbitBodyName","HabLevel","MCCost"
"38230","Babylon Station","Station","ShipbuildingHabSchematic","4092","the Servants","False","False","False",,"49 Pales","1","2"
"21249","Badaling Base","Base","InfluenceHabSchematic","4092","the Servants","False","False","True","4173",,"3","4"
"18979","Carcassone Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4558",,"2","3"
"48389","Carlsbad Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4644",,"1","2"
"24019","Chartres Base","Base","ShipbuildingHabSchematic","4092","the Servants","False","False","True","4575",,"2","3"
"26948","Cyrene Station","Station","ShipbuildingHabSchematic","4092","the Servants","False","False","False",,"5731 Zeus","2","3"
"20690","Delos Base","Base","InfluenceHabSchematic","4092","the Servants","False","False","True","4593",,"2","3"
"25809","Eiffel Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4158",,"2","3"
"9682","Fontainebleau Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4138",,"3","4"
"22509","Giza Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4162",,"2","3"
"28814","Glacier Station","Station","ShipbuildingHabSchematic","4092","the Servants","False","False","False",,"7092 Cadmus","2","3"
"28649","Gran Quivira Station","Station","InfluenceHabSchematic","4092","the Servants","True","False","False",,"Earth","2","3"
"28151","Ha Long Bay Base","Base","LEOHabSchematic","4092","the Servants","False","False","True","4513",,"2","3"
"97184","Halicarnassus Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4232",,"1","2"
"27287","Lushan Base","Base","StrongholdHabSchematic","4092","the Servants","False","False","True","4683",,"2","3"
"24974","Machu Picchu Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4171",,"2","3"
"44659","Maiden Tower Station","Station","ShipbuildingHabSchematic","4092","the Servants","False","False","False",,"129 Antigone","1","2"
"22100","Meteora Base","Base","MoneyHabSchematic","4092","the Servants","False","False","True","4161",,"3","4"
"37840","Purnululu Station","Station","LEOHabSchematic","4092","the Servants","True","False","False",,"Earth","2","3"
"39086","Tanis Base","Base","ShipbuildingHabSchematic","4092","the Servants","False","False","True","5018",,"2","3"
"16912","Taos Base","Base","ShipbuildingHabSchematic","4092","the Servants","False","False","True","4833",,"2","3"
"21719","Virunga Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4155",,"3","4"
"23193","Vizcaya Base","Base","ResearchHabSchematic","4092","the Servants","False","False","True","4160",,"2","3"
