"NationID","NationName","RegionCount","GDP","Population","MilTech","Democracy","Cohesion","Unrest","Knowledge","Inequality","ClimatePolicy","BoostHistoryLatest","BoostPerCP","CP_ID"
"3548","New Zealand",,"445842327391.326",,,"9.974324","7.90267","0.0",,"1.00164",,"4.682989","2.3414945","3549"
"3548","New Zealand",,"445842327391.326",,,"9.974324","7.90267","0.0",,"1.00164",,"4.682989","2.3414945","3550"
"3744","Türkiye",,"4669480518806.65",,,"7.97024","4.657697","0.5727752",,"3.992539",,"4.468343","1.11708575","3746"
"3379","Georgia",,"144801904022.763",,,"7.029126","7.049582","0.0",,"2.193536",,"1.164198","0.582099","3380"
"3381","Germany",,"5814567482867.33",,,"8.99291","2.618511","1.154004",,"1.989698",,"5.975004","1.493751","3385"
"3638","Russia",,"3871449649385.64",,,"2.339846","5.412551","0.3306579",,"3.738943",,"2.991228","0.747807","3641"
"3638","Russia",,"3871449649385.64",,,"2.339846","5.412551","0.3306579",,"3.738943",,"2.991228","0.747807","3642"
"3424","India",,"10583199970823.4",,,"5.990814","0.5210963","2.194695",,"4.184272",,"3.896667","0.7793334","3427"
"3575","Pakistan",,"1808611877950.65",,,"4.842604","4.540624","4.661354",,"2.72076",,"1.908332","0.6361106666666666666666666667","3577"
"3575","Pakistan",,"1808611877950.65",,,"4.842604","4.540624","4.661354",,"2.72076",,"1.908332","0.6361106666666666666666666667","3578"
"3572","Oman",,"299202321634.479",,,"2.823157","9.299997","0.0",,"2.814844",,"4.183326","2.091663","3573"
"3575","Pakistan",,"1808611877950.65",,,"4.842604","4.540624","4.661354",,"2.72076",,"1.908332","0.6361106666666666666666666667","3576"
"3572","Oman",,"299202321634.479",,,"2.823157","9.299997","0.0",,"2.814844",,"4.183326","2.091663","3574"
"3351","Ecuador",,"237948372718.423",,,"5.995509","0.4555048","7.602666",,"2.991588",,"0.4416667","0.22083335","3353"
"3809","Sierra Leone",,"26241324523.7329",,,"5.726295","3.757412","4.594136",,"3.177331",,"0.4650002","0.4650002","3810"
"3687","South Sudan",,"83337506453.1059",,,"0.2523207","10.0","7.666019E-05",,"3.494388",,"0.2850001","0.14250005","3688"
"3326","Congo",,"212998252310.128",,,"0.7678227","7.365252","2.636036",,"4.861991",,"0.7043125","0.35215625","3327"
"3379","Georgia",,"144801904022.763",,,"7.029126","7.049582","0.0",,"2.193536",,"1.164198","0.582099","39290"
"3255","Belgium-Luxembourg",,"1079991335882.67",,,"8.671206","9.332957","0.0",,"1.307458",,"4.775012","1.5916706666666666666666666667","3258"
"3424","India",,"10583199970823.4",,,"5.990814","0.5210963","2.194695",,"4.184272",,"3.896667","0.7793334","3426"
"3351","Ecuador",,"237948372718.423",,,"5.995509","0.4555048","7.602666",,"2.991588",,"0.4416667","0.22083335","3352"
"3381","Germany",,"5814567482867.33",,,"8.99291","2.618511","1.154004",,"1.989698",,"5.975004","1.493751","3383"
"3381","Germany",,"5814567482867.33",,,"8.99291","2.618511","1.154004",,"1.989698",,"5.975004","1.493751","3382"
"3604","Polynesian States",,"4982956293.3291",,,"7.008979","8.465597","0.7020051",,"2.197104",,"0.765","0.765","3605"
"3329","Costa Rica",,"180564055346.873",,,"7.004602","7.959893","0.0",,"2.837664",,"2.985003","1.4925015","3330"
"3329","Costa Rica",,"180564055346.873",,,"7.004602","7.959893","0.0",,"2.837664",,"2.985003","1.4925015","3331"
"3591","Peru",,"460051966116.449",,,"5.673736","4.095246","4.436055",,"3.261847",,"1.608333","0.8041665","3592"
"3591","Peru",,"460051966116.449",,,"5.673736","4.095246","4.436055",,"3.261847",,"1.608333","0.8041665","3593"
"3389","Greece",,"629781337799.115",,,"9.005535","7.391756","0.0",,"2.246212",,"3.626663","1.2088876666666666666666666667","3390"
"3326","Congo",,"212998252310.128",,,"0.7678227","7.365252","2.636036",,"4.861991",,"0.7043125","0.35215625","3328"
"3633","Romania",,"962600265187.023",,,"9.000463","6.205892","0.0",,"2.871415",,"2.831662","0.9438873333333333333333333333","7459"
"3494","Lebanon",,"111090901922.749",,,"7.002296","9.21603","0.0",,"2.537483",,"0.3333333","0.16666665","51910"
