"TechTemplateName","Status","AccumulatedResearch","SelectorFactionID"
"Skywatch","Finished",,
"MissionToSpace","Finished",,
"AdvancedCarbonManipulation","Finished",,
"WeAreNotAlone","Finished",,
"OutpostHabs","Finished",,
"OrbitalShipbuilding","Finished",,
"DeepSpacePropulsionConcepts","Finished",,
"AdvancedMagnetics","Finished",,
"ArrivalDomesticPolitics","Finished",,
"MassDrivers","Finished",,
"MissiontoMars","Finished",,
"SpaceMiningandRefining","Finished",,
"ArrivalEconomics","Finished",,
"PrinciplesofSpaceWarfare","Finished",,
"DeepSystemSkywatch","Finished",,
"ArrivalSociology","Finished",,
"MissiontotheAsteroids","Finished",,
"NuclearFissioninSpace","Finished",,
"MissiontotheMoon","Finished",,
"CarbonNanotubes","Finished",,
"ArrivalInternationalRelations","Finished",,
"AdvancedHeatManagementConcepts","Finished",,
"AdAstra","Finished",,
"SolidCoreFissionSystems","Finished",,
"OrbitalRingHabs","Finished",,
"AugmentedReality","Finished",,
"SpaceResearch","Finished",,
"IndustrializationofSpace","Finished",,
"Biotechnology","Finished",,
"MoltenCoreFissionSystems","Finished",,
"SpaceAgriculture","Finished",,
"SettlementHabs","Finished",,
"IndependenceMovements","Finished",,
"KineticsWarfareDoctrine","Finished",,
"MissileWarfareDoctrine","Finished",,
"TerrestrialMilitaryScience","Finished",,
"UnityMovements","Finished",,
"DirectedEnergyWarfareDoctrine","Finished",,
"AdvancedChemicalRocketry","Finished",,
"ElectrothermalPropulsion","Finished",,
"Cybernetics","Finished",,
"PhotonicComputing","Finished",,
"GasCoreFissionSystems","Finished",,
"HighEnergyLasers","Finished",,
"FallofEmpires","Finished",,
"InfraredCombatLasers","Finished",,
"AdvancedAtomicManipulation","Finished",,
"MagneticForceManipulation","Finished",,
"AdvancedSuperconductors","Finished",,
"ArrivalLaw","Finished",,
"SuperconductingMagnets","Finished",,
"GreatNations","Finished",,
"ArrivalSecurity","Finished",,
"Superalloys","Finished",,
"SpaceMedicine","Finished",,
"SpaceCommerce","Finished",,
"ArrivalPsychology","Finished",,
"AdvancedNeuralNetworks","Finished",,
"ArrivalMassCommunications","Finished",,
"QuantumComputing","Finished",,
"ArrivalCulture","Finished",,
"NetworkedPropaganda","Finished",,
"NuclearFusioninSpace","Finished",,
"DirectedSpaceResearch","Finished",,
"QuantumEncryption","Finished",,
"MilitarizationofSpace","Finished",,
"SelfRepairingSoftware","Finished",,
"Railguns","Finished",,
"AdvancedHydrogenContainment","Finished",,
"SpaceAssaultDoctrine","Finished",,
"HighTemperatureSuperconductors","Finished",,
"AppliedArtificialIntelligence","Finished",,
"AdvancedMissileWarfareDoctrine","Finished",,
"MolecularAssemblers","Finished",,
"ArrivalInternationalDevelopment","Finished",,
"MagneticPlasmaConfinementTechniques","Finished",,
"VisibleCombatLasers","Finished",,
"SpaceNavies","Finished",,
"Diamondoids","Finished",,
"MindandMachine","Finished",,
"Tokamaks","Finished",,
"OurSpaceFuture","Finished",,
"UltravioletCombatLasers","Finished",,
"ArrivalGovernance","Finished",,
"MagneticNozzles","Finished",,
"MissiontoJupiter","Finished",,
"SpaceTourism","Finished",,
"InSituResourceUtilization","Finished",,
"WhiteCollarAutomation","Finished",,
"ElectromagneticPropulsion","Finished",,
"MissiontoVenus","Finished",,
"ExtendedSpaceSurvival","Finished",,
"FissionPulseDrives","Finished",,
"NextGenerationAerospace","Finished",,
"OrbitalFighters","Finished",,
"VacuumElectrostaticPrinciples","Finished",,
"ParticleCannon","Finished",,
"ElectrostaticPropulsion","Finished",,
"OrbitalTorusHabs","Finished",,
"AdministrationAlgorithms","Finished",,
"MissiontotheInnerPlanets","Finished",,
"HighEnergyElectromagneticPropulsion","Finished",,
"Supercapacitors","Finished",,
"ImprovedShipbuildingTechniques","Finished",,
"ElectrostaticPlasmaConfinement","Finished",,
"TransInterfaceWarfare","Finished",,
"Neutronics","Finished",,
"ArcLasers","Finished",,
"AntimatterContainment","Finished",,
"PredictiveGenetics","Finished",,
"TransformPhages","Finished",,
"IntegratedEarthSpaceEconomy","Finished",,
"Coilguns","Finished",,
"AdvancedFissionSystems","Finished",,
"ColonyHabs","Finished",,
"Ultracapacitors","Finished",,
"DeuteriumTritiumFusion","Finished",,
"FleetLogistics","Finished",,
"NetworkedGlobalDefense","Finished",,
"ZPinchTechniques","Finished",,
"MissiontoSaturn","Finished",,
"DesignerLifeforms","Finished",,
"PhasedArrayLasers","Finished",,
"InertialPlasmaConfinementTechniques","InProgress","983.0854","4093"
"DeuteriumDeuteriumFusion","InProgress","5540.862","4091"
"PlasmaWeapons","InProgress","9178.854","4089"
