"Category","FriendlyName","DataName","RequiredProject","Stats","Cost"
"Armor","Steel Armor","SteelArmor",,"HeatResist: Density:",""
"Armor","Titanium Armor","TitaniumArmor",,"HeatResist: Density:",""
"Armor","Silicon Carbide Armor","SiliconCarbideArmor",,"HeatResist: Density:",""
"Armor","Boron Carbide Armor","BoronCarbideArmor",,"HeatResist: Density:",""
"Armor","Composite Armor","CompositeArmor","Project_CompositeArmor","HeatResist: Density:",""
"Armor","Foamed Metal Armor","FoamedMetalArmor","Project_FoamedMetalArmor","HeatResist: Density:",""
"Armor","Nanotube Armor","NanotubeArmor","Project_NanotubeArmor","HeatResist: Density:",""
"Armor","Adamantane Armor","AdamantaneArmor","Project_AdamantaneArmor","HeatResist: Density:",""
"Radiator","Aluminum Fin","AluminumFin",,"MassPerGW:2.5 WasteHeatCap_MW:",""
"Radiator","Titanium Array","TitaniumArray","Project_Warships","MassPerGW:5.5 WasteHeatCap_MW:",""
"Radiator","Molybdenum Pipe","MolybdenumPipe","Project_MolybdenumPipeRadiator","MassPerGW:4.5 WasteHeatCap_MW:",""
"Radiator","Nanotube Filament","NanotubeFilament","Project_NanotubeFilamentRadiator","MassPerGW:6.5 WasteHeatCap_MW:",""
"Radiator","Ionic Dust","IonicDust","Project_IonicDustRadiator","MassPerGW:3 WasteHeatCap_MW:",""
"Radiator","Cobalt Dust","CobaltDust","Project_CobaltDustRadiator","MassPerGW:5 WasteHeatCap_MW:",""
"Radiator","Tin Droplet","TinDroplet","Project_TinDropletRadiator","MassPerGW:8 WasteHeatCap_MW:",""
"Weapon_Laser","Point Defense Laser Turret","PointDefenseLaserTurret","Project_PointDefenseLaserTurret","Range:250 Dmg:50 Wavelength:1080",""
"Weapon_Laser","60 cm IR Laser Battery","60cmIRLaserBattery","Project_60cmIRLaserBattery","Range:600 Dmg:100 Wavelength:810",""
"Weapon_Laser","120 cm IR Laser Battery","120cmIRLaserBattery","Project_60cmIRLaserBattery","Range:700 Dmg:150 Wavelength:810",""
"Weapon_Laser","360 cm IR Laser Battery","360cmIRLaserBattery","Project_60cmIRLaserBattery","Range:850 Dmg:250 Wavelength:810",""
"Weapon_Laser","240 cm IR Laser Cannon","240cmIRLaserCannon","Project_240cmIRLaserCannon","Range:800 Dmg:200 Wavelength:810",""
"Weapon_Laser","480 cm IR Laser Cannon","480cmIRLaserCannon","Project_240cmIRLaserCannon","Range:900 Dmg:300 Wavelength:810",""
"Weapon_Laser","720 cm IR Laser Cannon","720cmIRLaserCannon","Project_240cmIRLaserCannon","Range:950 Dmg:350 Wavelength:810",""
"Weapon_Laser","960 cm IR Laser Cannon","960cmIRLaserCannon","Project_240cmIRLaserCannon","Range:1000 Dmg:400 Wavelength:810",""
"Weapon_Laser","Point Defense Arc Laser Turret","PointDefenseArcLaserTurret","Project_PointDefenseArcLaserTurret","Range:300 Dmg:50 Wavelength:1080",""
"Weapon_Laser","60 cm Green Laser Battery","60cmGreenLaserBattery","Project_60cmGreenLaserBattery","Range:600 Dmg:100 Wavelength:540",""
"Weapon_Laser","120 cm Green Laser Battery","120cmGreenLaserBattery","Project_60cmGreenLaserBattery","Range:700 Dmg:150 Wavelength:540",""
"Weapon_Laser","360 cm Green Laser Battery","360cmGreenLaserBattery","Project_60cmGreenLaserBattery","Range:850 Dmg:250 Wavelength:540",""
"Weapon_Laser","240 cm Green Laser Cannon","240cmGreenLaserCannon","Project_240cmGreenLaserCannon","Range:800 Dmg:200 Wavelength:540",""
"Weapon_Laser","480 cm Green Laser Cannon","480cmGreenLaserCannon","Project_240cmGreenLaserCannon","Range:900 Dmg:300 Wavelength:540",""
"Weapon_Laser","720 cm Green Laser Cannon","720cmGreenLaserCannon","Project_240cmGreenLaserCannon","Range:950 Dmg:350 Wavelength:540",""
"Weapon_Laser","960 cm Green Laser Cannon","960cmGreenLaserCannon","Project_240cmGreenLaserCannon","Range:1000 Dmg:400 Wavelength:540",""
"Weapon_Laser","60 cm UV Laser Battery","60cmUVLaserBattery","Project_60cmUVLaserBattery","Range:600 Dmg:100 Wavelength:270",""
"Weapon_Laser","120 cm UV Laser Battery","120cmUVLaserBattery","Project_60cmUVLaserBattery","Range:700 Dmg:150 Wavelength:270",""
"Weapon_Laser","360 cm UV Laser Battery","360cmUVLaserBattery","Project_60cmUVLaserBattery","Range:850 Dmg:250 Wavelength:270",""
"Weapon_Laser","240 cm UV Laser Cannon","240cmUVLaserCannon","Project_240cmUVLaserCannon","Range:800 Dmg:200 Wavelength:270",""
"Weapon_Laser","480 cm UV Laser Cannon","480cmUVLaserCannon","Project_240cmUVLaserCannon","Range:900 Dmg:300 Wavelength:270",""
"Weapon_Laser","720 cm UV Laser Cannon","720cmUVLaserCannon","Project_240cmUVLaserCannon","Range:950 Dmg:350 Wavelength:270",""
"Weapon_Laser","960 cm UV Laser Cannon","960cmUVLaserCannon","Project_240cmUVLaserCannon","Range:1000 Dmg:400 Wavelength:270",""
"Weapon_Laser","60 cm UV Arc Laser Battery","60cmUVArcLaserBattery","Project_60cmUVArcLaserBattery","Range:600 Dmg:100 Wavelength:270",""
"Weapon_Laser","120 cm UV Arc Laser Battery","120cmUVArcLaserBattery","Project_60cmUVArcLaserBattery","Range:700 Dmg:150 Wavelength:270",""
"Weapon_Laser","360 cm UV Arc Laser Battery","360cmUVArcLaserBattery","Project_60cmUVArcLaserBattery","Range:850 Dmg:250 Wavelength:270",""
"Weapon_Laser","240 cm UV Arc Laser Cannon","240cmUVArcLaserCannon","Project_240cmUVArcLaserCannon","Range:800 Dmg:200 Wavelength:270",""
"Weapon_Laser","480 cm UV Arc Laser Cannon","480cmUVArcLaserCannon","Project_240cmUVArcLaserCannon","Range:900 Dmg:300 Wavelength:270",""
"Weapon_Laser","720 cm UV Arc Laser Cannon","720cmUVArcLaserCannon","Project_240cmUVArcLaserCannon","Range:950 Dmg:350 Wavelength:270",""
